Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
UTI Silver ETF FoF - Regular Plan,27.6,2.3,5,0.67,1,-1.01,6,12.42,1,15.44,2,23.75,1,28.88,3,26.21,1,28.81,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.85,-,22.6,1
Domestic Price of Silver,,3.23,,1.47,,-0.72,,11.93,,15.44,,23.33,,33.25,,25.18,,29.06,,25.61,,-,,-,,-,,-,,-,,-,,-,,,,22.49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic + International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,2
Peer Average,,1.38,,1.35,,3.53,,6.55,,8.2,,17.33,,28.71,,27.87,,27.89,,18.74,,9.59,,14.28,,11.82,,11.31,,12.63,,12.26,,,,,,16.09,
Franklin Asian Equity Fund,228.08,0.7,2,0.63,2,5.29,1,6.3,2,7.34,2,13.45,2,16.92,2,15.88,2,7.77,2,5.21,2,-4.36,2,4.33,2,5.04,2,6.03,2,7.44,2,7.89,2,-,-,6.41,-,10.84,2
Templeton India Equity Income Fund,2210.68,2.06,1,2.07,1,1.77,2,6.8,1,9.06,1,21.21,1,40.5,1,39.85,1,48,1,32.27,1,23.54,1,24.22,1,18.61,1,16.59,1,17.83,1,16.63,1,-,-,15.61,-,21.33,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Competitor Thematic/Contra Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,43,,43,,43,,43,,43,,43,,43,,43,,43,,43,,31,,23,,15,,13,,12,,12,,6,,43,,43
Peer Average,,1.68,,2.23,,5.37,,9.61,,12.26,,22.02,,37.32,,36.93,,46.16,,35.91,,22.21,,21.75,,16.65,,15.74,,17.34,,16.18,,18.91,,,,21.7,
360 ONE Quant Fund - Regular Plan,236.19,3.6,1,2.84,11,4.21,36,11.21,11,13.47,16,27.05,11,49.63,9,49.2,8,60.81,7,47.53,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2,-,26.85,11
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,1701.46,1.44,27,3.42,3,6.78,10,11.03,12,11.7,24,18.88,30,29.37,34,29.26,34,33.94,35,27.47,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.93,33
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,1005.6,2.03,11,2.55,17,6.26,13,10.98,13,15.77,9,24.78,14,41.48,15,40.99,14,51.31,15,35.73,22,18.38,22,20.34,18,13.61,13,-,-,-,-,-,-,-,-,13.22,-,24.83,13
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,714.83,1.49,25,2.43,25,6.67,11,9.08,27,12.14,21,19.66,27,33.05,27,32.82,28,42.97,29,30.53,31,18.48,21,-,-,-,-,-,-,-,-,-,-,-,-,25.56,-,19.47,26
Axis Innovation Fund - Regular Plan,1208.96,1.59,21,2.46,23,7.9,4,11.39,10,12.72,18,25.17,13,35.09,24,34.89,24,38.01,31,28.25,35,15.79,28,-,-,-,-,-,-,-,-,-,-,-,-,17.95,-,24.39,14
Axis Quant Fund - Regular Plan,1044.96,1.16,34,1.79,34,3.12,38,5.22,42,6.85,42,16.41,35,31.92,30,31.61,31,34.28,34,31.9,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.17,-,16.24,35
Baroda BNP Paribas Business Cycle Fund - Regular Plan,527.46,2.27,7,2.7,13,5.97,16,9.27,25,11.59,25,20.68,23,39.59,18,39.57,16,47.45,21,35.1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.37,-,21.07,21
DSP Quant Fund - Regular Plan,1132.41,1.36,30,2.37,27,7.03,9,9.01,28,7.74,40,11.51,40,21.64,41,21.13,41,22.6,41,21.13,42,11.75,31,16.21,22,-,-,-,-,-,-,-,-,-,-,15.78,-,10.15,41
Edelweiss Recently Listed IPO Fund  - Regular Plan,890.55,1.54,24,2.14,32,10.26,1,9.44,23,12.81,17,18.18,32,23.91,39,25.54,36,41.13,30,29.45,33,15.62,29,23.61,6,-,-,-,-,-,-,-,-,-,-,16.44,-,18.53,31
Franklin India Opportunities Fund,3933.36,0.6,43,2.87,10,6.48,12,12.91,6,21,1,34.45,3,56.43,3,57.18,1,77.39,1,54.93,1,30.95,3,26.59,3,20.16,1,18.69,1,19.47,3,16.43,5,18.55,4,14.03,-,34.36,3
HDFC Housing Opportunities Fund - Regular Plan,1444.4,1.07,38,2.67,14,4.27,35,10.69,15,14.52,12,23.17,17,46.2,11,46.57,10,61.52,6,46.63,7,27.42,7,19.59,19,-,-,-,-,-,-,-,-,-,-,14.44,-,23.8,16
HSBC Business Cycles Fund - Regular Plan,856.13,1.77,18,3.04,7,5.42,19,12.34,7,18.66,2,32.94,7,46.4,10,46.42,11,53.93,12,42.65,8,26.58,8,21.09,15,15.55,12,-,-,-,-,-,-,-,-,15.62,-,32.45,7
ICICI Prudential Business Cycle Fund,9663.24,1.3,32,2.53,18,2.81,39,6.48,38,8.21,36,22.89,19,39.62,17,38.76,19,47.91,18,36.39,20,25.35,10,-,-,-,-,-,-,-,-,-,-,-,-,26.69,-,22.35,19
ICICI Prudential Commodities Fund,2370.77,2.85,3,3.19,4,4.94,27,8.35,31,11.81,23,23.05,18,38.81,19,38.76,18,49.02,17,40.85,12,24.6,12,-,-,-,-,-,-,-,-,-,-,-,-,36.44,-,22.63,18
ICICI Prudential Exports and Services Fund,1284.6,1.11,36,2.93,8,5.55,18,8.89,29,10.07,29,20.93,22,33.81,26,33.15,27,44.2,28,32.24,26,23.69,13,21.43,11,16.14,11,16.4,5,20.35,2,17.91,3,-,-,15.74,-,20.48,24
ICICI Prudential FMCG Fund,1509.7,0.86,40,0.65,40,4.84,29,6.57,37,8.02,39,2.26,42,10.18,43,9.68,43,9.58,43,19.07,43,17.87,23,15.05,23,12.7,15,14.36,11,14.96,10,18.54,2,20.75,1,16.61,-,2.72,42
ICICI Prudential Housing Opportunities Fund,2555.16,1.86,15,3.66,1,4.87,28,10.17,20,12.06,22,20.14,25,34.07,25,33.96,25,44.68,26,33.33,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.12,-,19.3,27
ICICI Prudential India Opportunities Fund,19792.23,1.43,28,2.41,26,5.56,17,8.22,32,9.19,32,18.72,31,31.85,31,30.9,32,46.33,23,38.87,17,29.43,6,24.7,4,-,-,-,-,-,-,-,-,-,-,24.16,-,18.72,29
ICICI Prudential Manufacturing Fund,4841.52,2.12,9,2.5,19,5.35,21,13.54,2,16.21,8,33.31,6,56.17,4,55.16,4,70.42,2,49.5,3,32.52,2,27.78,2,-,-,-,-,-,-,-,-,-,-,25.08,-,33.36,5
ICICI Prudential Nifty Auto ETF,66.37,0.65,41,-0.79,43,5.14,24,11.89,8,17,6,37.66,1,57.63,1,55.73,2,67.88,3,47.19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.33,-,35.44,1
ICICI Prudential Nifty FMCG ETF,153.35,1.25,33,0.92,39,5.38,20,6.23,40,7.03,41,1.25,43,13.17,42,12.55,42,10.11,42,22.98,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.33,-,1.65,43
ICICI Prudential Quant Fund,79.79,2.03,10,2.81,12,5.32,22,10.16,21,11.35,26,17.92,33,29.77,33,29.53,33,37.02,33,28.17,36,18.58,20,-,-,-,-,-,-,-,-,-,-,-,-,24.11,-,18.18,32
ICICI Prudential Thematic Advantage Fund (FOF) #,1555.11,1.11,35,1.79,33,7.28,6,6.85,35,8.07,37,13.54,38,24.8,37,24.8,38,31.67,38,28.06,37,19.24,19,22.27,10,16.57,8,15.82,6,15.31,9,14.42,10,16.64,6,15.61,-,13.95,37
Invesco India Contra Fund,16189.14,1.54,23,2.49,20,4.81,30,10.49,19,14.29,13,24.05,16,38.16,20,38.16,20,47.72,20,35.33,23,21.88,15,21.21,14,18.07,4,17.54,3,19.29,4,17.47,4,-,-,15.88,-,23.32,17
Kotak India EQ Contra Fund - Regular Plan,3136.4,1.64,20,2.61,15,5.11,26,10.61,17,14.19,15,24.34,15,44.63,13,44.23,12,53.06,13,40.46,14,25.07,11,22.57,7,19.54,3,16.71,4,17.79,6,16.16,7,-,-,15.3,-,24.13,15
Kotak Manufacture in India Fund - Regular Plan,2098.36,1.98,13,2.49,21,6.05,15,13.46,3,17.03,5,31.1,9,44.66,12,43.76,13,54.93,11,37.74,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.36,-,30.31,9
Kotak Pioneer Fund - Regular Plan,2386.41,1.78,17,2.43,24,8.08,3,13.82,1,15.23,11,26.85,12,41.49,14,40.79,15,47.19,22,36.33,21,20.21,17,-,-,-,-,-,-,-,-,-,-,-,-,26.03,-,25.74,12
Mahindra Manulife Consumption Fund - Regular Plan,195.4,1.08,37,1.57,35,7.26,8,9.33,24,12.6,19,20.55,24,32.99,28,33.44,26,37.7,32,31.43,28,20.13,18,17.5,21,-,-,-,-,-,-,-,-,-,-,15.57,-,21.02,22
Mirae Asset Nifty India Manufacturing ETF,151.97,1.66,19,1.53,36,4.65,32,13.35,4,17.89,3,34.11,4,51.53,5,50.4,6,60.76,8,42.47,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.73,-,33.61,4
Mirae Asset Nifty India Manufacturing ETF FoF - Regular Plan,87.16,1.48,26,1.38,38,4.33,34,12.92,5,17.4,4,33.51,5,50.54,7,49.35,7,59.46,9,41.47,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.05,-,32.92,6
Nippon India ETF Nifty Dividend Opportunities 50,51,2.34,6,2.22,30,2.33,41,6.79,36,8.89,33,19.09,28,39.73,16,39.19,17,49.53,16,38.96,16,26.07,9,21.35,12,17.52,5,14.32,12,-,-,-,-,-,-,16.33,-,18.58,30
Nippon India Nifty Auto ETF,154.5,0.65,42,-0.79,42,5.14,25,11.88,9,16.98,7,37.63,2,57.56,2,55.67,3,67.8,4,47.14,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.11,-,35.4,2
Nippon India Quant Fund - Retail Plan,64.87,2.17,8,2.58,16,2.65,40,6.32,39,8.82,34,18.93,29,38.04,21,37.59,21,44.43,27,37.49,19,23.48,14,21.27,13,16.7,7,13.82,13,14.92,11,13.51,11,-,-,12.46,-,18.92,28
Quant Quantamental Fund - Regular Plan,2408.6,1.42,29,1.47,37,0.85,43,6.12,41,8.71,35,27.73,10,51.2,6,50.68,5,61.66,5,50.94,2,33.1,1,-,-,-,-,-,-,-,-,-,-,-,-,33.2,-,28.43,10
SBI Contra Fund,30520.42,1.31,31,2.27,29,4.7,31,7.65,33,10.76,28,20.13,26,36.04,23,35.99,23,47.87,19,40.18,15,29.57,5,28.55,1,20.03,2,17.84,2,18.2,5,15.19,8,20.55,2,20.04,-,20.21,25
SBI Equity Minimum Variance Fund - Regular Plan,190.17,1.89,14,2.16,31,5.31,23,6.97,34,6.04,43,11.17,41,25.71,36,24.82,37,29.99,40,26.74,39,17.6,25,18.56,20,-,-,-,-,-,-,-,-,-,-,17.94,-,11,40
SBI Magnum COMMA Fund,595.31,2.98,2,2.48,22,1.02,42,3.88,43,8.03,38,14.25,36,31.59,32,31.84,30,45.46,25,31.35,29,16.07,27,22.42,9,16.33,9,14.64,8,14.23,12,12.16,12,-,-,13.05,-,14.4,36
Sundaram Services Fund - Regular Plan,3358.02,1.83,16,3.16,5,7.28,7,8.68,30,9.71,30,12.65,39,24.28,38,24.26,39,31.61,39,29.04,34,20.55,16,22.43,8,-,-,-,-,-,-,-,-,-,-,21.72,-,12.42,39
Tata Business Cycle Fund - Regular Plan,2311.19,1.56,22,2.35,28,3.64,37,9.09,26,11.26,27,21.92,20,37.15,22,37.28,22,52.03,14,41.3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.46,-,21.86,20
Tata Ethical Fund - Regular Plan,2566.59,2.62,5,2.93,9,7.47,5,10.61,18,12.28,20,17.77,34,28.58,35,28.35,35,33.88,36,26.64,40,17.21,26,21.05,16,16.3,10,14.5,10,16.7,7,16.23,6,18.37,5,16.72,-,17.02,34
Tata Quant Fund - Regular Plan,57.81,2.01,12,3.5,2,8.23,2,10.67,16,14.29,14,14.15,37,23.65,40,22.95,40,32.87,37,29.68,32,13.67,30,-,-,-,-,-,-,-,-,-,-,-,-,10.35,-,13.49,38
Taurus Ethical Fund - Regular Plan,180.69,2.77,4,3.07,6,6.07,14,9.73,22,9.41,31,20.93,21,32.76,29,32.53,29,46.13,24,30.85,30,17.77,24,20.52,17,16.95,6,14.51,9,16.14,8,14.98,9,-,-,18.34,-,20.81,23
UTI Transportation and Logistics Fund - Regular Plan,3435.05,1.04,39,0.15,41,4.52,33,10.73,14,15.32,10,31.39,8,49.83,8,48.54,9,56.65,10,40.61,13,29.84,4,24.18,5,13.57,14,15.41,7,20.71,1,21.21,1,18.59,3,17.74,-,30.58,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Index FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,2,,,,,,,,,,,,,,4,,4
Peer Average,,1.21,,1.43,,2.61,,5.26,,6.79,,12.8,,23.17,,22.79,,25.98,,19.12,,12.72,,,,,,,,,,,,,,,,12.54,
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,14.03,1.54,1,1.44,3,2.68,2,6.99,1,10.56,1,18.16,1,31.56,1,31.91,1,38.67,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.6,-,18.3,1
ICICI Prudential Passive Multi-Asset FoF,1078.05,0.91,4,1.5,2,1.74,4,3.12,4,3.9,4,8.63,4,17.13,4,16.15,4,17.52,4,17.38,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.5,-,8.12,4
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,1.33,2,1.69,1,3.68,1,6.57,2,7.42,2,14.41,2,26.04,2,25.48,2,28.07,2,23.27,1,14.6,1,-,-,-,-,-,-,-,-,-,-,-,-,15.47,-,13.96,2
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,41.39,1.06,3,1.09,4,2.33,3,4.37,3,5.27,3,10.01,3,17.94,3,17.62,3,19.66,3,16.7,3,10.85,2,-,-,-,-,-,-,-,-,-,-,-,-,11.44,-,9.8,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Asset Allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,10,,10,,10,,10,,10,,9,,9,,8,,8,,6,,6,,4,,4,,4,,4,,3,,1,,10,,9
Peer Average,,1.34,,1.78,,3.15,,6.17,,7.85,,15.44,,25.88,,25.22,,29.65,,24.09,,16.6,,15.9,,13.01,,11.55,,12.19,,12.82,,20.29,,,,15.02,
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,3370.93,1.28,5,1.59,6,3.76,3,7.41,2,9.13,2,14.61,7,22.54,7,22.26,6,25.41,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.36,-,14.22,7
Axis Multi Asset Allocation Fund - Regular Plan,1197.41,1.68,4,2.36,2,3.59,4,7.26,4,9.05,3,13.9,8,20.42,9,20.33,8,21.98,8,17.62,6,10.25,6,13.14,4,11.69,4,10.34,3,10.33,3,-,-,-,-,9.98,-,12.93,8
Bank of India Multi Asset Allocation Fund - Regular Plan,332.43,1.12,7,1.36,9,1.94,10,4.42,10,6.84,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.37,-,-,-
Baroda BNP Paribas Multi Asset Fund - Regular Plan,1180.31,1.77,1,2.77,1,4.27,1,7.3,3,9.03,4,17.3,1,29.45,3,28.78,3,33.78,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.44,-,16,4
HDFC Multi Asset Fund,2897.11,0.9,10,1.43,8,3.16,5,5.35,7,6.29,9,11.94,9,21.2,8,20.67,7,23.86,7,19.87,5,14.14,5,15.09,3,12.07,2,11.02,2,11.36,2,11.27,2,-,-,10.5,-,11.94,9
ICICI Prudential Multi Asset Fund,41159.52,1.05,8,1.53,7,2.79,7,4.99,8,6.65,8,15.45,5,25.71,5,24.87,4,33.09,4,27.92,2,23.6,1,20.05,1,16.49,1,14.91,1,16.83,1,16.4,1,20.29,1,21.52,-,15.11,5
Kotak Multi Asset Allocation Fund - Regular Plan,6089.4,1.74,2,1.69,4,3.84,2,7.97,1,9.96,1,16.77,4,27.27,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.64,-,16.64,3
Nippon India Multi Asset Fund - Regular Plan,3313.76,1.72,3,2.15,3,3.15,6,6.07,6,7.91,5,17.16,2,30.3,2,29.39,2,33.86,2,25.45,3,17.34,3,-,-,-,-,-,-,-,-,-,-,-,-,19.21,-,16.74,2
Tata Multi Asset Opportunities Fund - Regular Plan,2863.37,1.14,6,1.62,5,2.69,8,6.27,5,7.42,6,14.84,6,23.52,6,23.32,5,27.94,5,23.23,4,15.95,4,-,-,-,-,-,-,-,-,-,-,-,-,20.29,-,14.58,6
UTI Multi Asset Allocation Fund - Regular Plan,2026.51,1.04,9,1.33,10,2.35,9,4.62,9,6.21,10,17.02,3,32.5,1,32.12,1,37.32,1,30.46,1,18.32,2,15.33,2,11.77,3,9.94,4,10.25,4,10.78,3,-,-,13.2,-,17.05,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasdaq 100 FOFs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,2,,1,,,,,,,,,,,,5,,5
Peer Average,,1.86,,0.95,,8.84,,12.83,,10.57,,22.39,,37.72,,36.67,,34.79,,35.04,,14.67,,24.44,,,,,,,,,,,,,,19.45,
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,371.53,1.95,4,0.75,5,8.78,3,12.51,4,10.16,5,22.42,3,37.82,3,36.11,3,34.49,4,34.57,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.41,-,19.12,3
Axis NASDAQ 100 FoF - Regular Plan,166.54,2.01,3,0.8,4,8.76,5,12.42,5,10.18,4,22.13,4,37.34,4,35.69,4,34.24,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.22,-,19,5
Kotak Nasdaq 100 FOF - Regular Plan,2974.77,2.05,2,0.81,3,8.94,1,12.67,3,10.3,3,22.55,2,38.16,2,38.07,2,34.92,2,35.5,2,14.99,1,-,-,-,-,-,-,-,-,-,-,-,-,16.47,-,19.04,4
Motilal Oswal Nasdaq 100 FOF - Regular Plan,4672.55,1.14,5,0.97,2,8.76,4,13.64,1,10.98,2,21.15,5,36.12,5,35.4,5,34.84,3,34.44,4,14.35,2,24.44,1,-,-,-,-,-,-,-,-,-,-,24.57,-,19.67,2
Navi NASDAQ 100 FoF - Regular Plan,934.53,2.14,1,1.43,1,8.94,2,12.93,2,11.23,1,23.72,1,39.15,1,38.08,1,35.44,1,35.63,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.21,-,20.44,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,5,,5,,5,,5,,5,,5,,4,,4,,3,,1,,1,,1,,1,,1,,1,,1,,1,,5,,5
Peer Average,,1.54,,1.02,,6.64,,12.29,,17.33,,33.34,,50.8,,50.14,,59.09,,40.61,,29.84,,24.18,,13.57,,15.41,,20.71,,21.21,,18.59,,,,32.94,
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,1377.16,1.82,2,1.75,2,5.89,4,11.14,4,15.91,4,33.92,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.7,-,33.42,2
Bandhan Transportation and Logistics Fund - Regular Plan,499.85,2.27,1,1.92,1,7.99,1,13.59,1,19.4,1,32.3,3,49.07,3,48.44,3,60.22,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.83,-,32.44,3
HDFC Transportation and Logistics Fund - Regular Plan,1009.6,1.4,3,0.73,3,7.87,2,12.97,3,18.59,2,37.82,1,55.8,1,55.53,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.37,-,37.72,1
ICICI Prudential Transportation and Logistics Fund,2924.15,1.15,4,0.54,4,6.95,3,13.04,2,17.43,3,31.29,5,48.51,4,48.04,4,60.38,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.71,-,30.55,5
UTI Transportation and Logistics Fund - Regular Plan,3435.05,1.04,5,0.15,5,4.52,5,10.73,5,15.32,5,31.39,4,49.83,2,48.54,2,56.65,3,40.61,1,29.84,1,24.18,1,13.57,1,15.41,1,20.71,1,21.21,1,18.59,1,17.74,-,30.58,4
Nifty Transportation & Logistics Total Return Index,,1.23,,0.01,,5.08,,11.39,,16.42,,36.86,,57.99,,57.21,,70.88,,49.2,,33.95,,28.66,,16.69,,17.13,,20.51,,21.53,,-,,,,36.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Return as on :02-July-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
